fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,,-0.9308,-1.87,-1.73,-1.05,-1.1,-1.08,-0.76,-2.64,0.42
3931.0,,0.7046,0.38,0.94,1.22,1.13,1.5,2.07,-0.8,1.5
3931.0,,1.1079,1.3,1.88,1.58,1.78,2.27,2.38,-1.21,1.47
3931.0,,-0.2884,-0.49,-0.53,-0.46,-0.35,-0.54,-0.71,0.79,-0.11
3931.0,,0.9832,1.71,1.48,1.27,1.2,1.34,1.32,-0.71,0.15
3931.0,,-0.4582,-0.1,0.09,0.19,-0.15,-0.08,-0.02,-0.8,0.29
3931.0,,-0.6904,-0.43,-0.32,-0.3,-0.44,-0.35,-0.31,-0.68,-0.12
3931.0,,1.3905,0.72,0.23,0.07,1.04,0.85,0.43,1.22,0.37
3931.0,,0.3429,0.07,-0.13,-0.02,0.11,-0.03,-0.44,0.48,-0.14
3931.0,,1.139,1.24,0.96,0.84,1.27,1.08,1.07,-0.46,-0.26
3931.0,,0.5631,0.85,0.93,0.65,0.78,0.76,0.5,-1.3,-0.12
3931.0,,0.112,0.57,0.38,0.26,0.26,0.19,0.39,0.01,-0.12
3931.0,,0.2237,0.57,-0.01,-0.23,0.28,0.21,-0.24,0.65,0.64
3931.0,,0.279,0.15,0.3,0.26,0.2,0.03,-0.08,-0.55,-0.2
3931.0,,0.7791,-0.08,0.05,-0.16,0.69,0.59,0.39,0.57,-0.08
3931.0,,0.0,-0.25,-0.37,-0.43,-0.15,-0.16,-0.33,0.95,0.0
3931.0,,0.1104,0.56,0.53,0.44,0.04,0.37,0.51,-0.03,0.38
3931.0,,0.2206,0.75,0.57,0.28,0.41,-0.05,-0.25,-1.0,-0.1
3931.0,,0.3302,0.6,0.25,0.1,-0.15,-0.33,-0.8,0.34,-0.06
3931.0,,-0.4388,-0.78,-0.27,-0.33,-0.4,-0.33,-0.18,-0.22,0.32
3931.0,,1.1019,1.01,0.81,0.46,0.83,0.55,-0.04,0.35,-0.27
3931.0,,-0.4905,-0.74,-0.55,-0.1,-0.41,-0.37,0.02,-0.39,0.23
3931.0,,-0.0548,-0.13,-0.47,-0.32,-0.48,-0.35,-0.53,0.04,-0.11
